Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
2,70C7FBD7e6Aa3Ea,Cunningham LLC,http://harding-duffy.com/,Namibia,Team-oriented fault-tolerant adapter,2018,Library,7871
3,428B397eA2d7290,Ruiz-Walls,http://www.atkins.biz/,Iran,Re-contextualized bifurcated moderator,2003,Hospital / Health Care,3095
5,6CDCcdE3D0b7b44,"Diaz, Robles and Haley",https://www.brooks-scott.net/,Botswana,Inverse intangible methodology,2013,Nanotechnology,3135
7,0fe6F8Dd1Cf5e4d,Humphrey-Myers,https://faulkner-mclaughlin.info/,Sierra Leone,Adaptive directional process improvement,2005,Publishing Industry,6022
8,ECC0FBd0dc4aEfc,Castaneda-Mcmahon,http://www.anthony.com/,Zimbabwe,Front-line value-added emulation,2015,Defense / Space,4580
13,849CEAb2f65c439,Gaines-Vang,http://www.levy.com/,Thailand,Compatible web-enabled array,2021,Online Publishing,3135
14,DcFCcD6B1a1A736,Larsen-Garrison,https://walsh.com/,Turkey,Polarized composite moderator,2014,Building Materials,7261
18,3F2A9d9c44af88f,Solis PLC,https://gomez.com/,Suriname,Stand-alone zero tolerance algorithm,2004,E - Learning,2546
19,4eBE2067f1F8d7E,David-Summers,http://levine.biz/,Burundi,Monitored mobile monitoring,2019,Machinery,219
21,aeCF5B129e7De7d,Watkins-Gibson,https://keller.com/,Malta,Pre-emptive demand-driven Graphical User Interface,2004,Online Publishing,6796
22,20c0DFDE6D7553d,Yoder LLC,http://www.villarreal.com/,Andorra,Cross-group optimal encoding,2015,Mining / Metals,7859
24,220c1D09F99b07e,Hampton Inc,https://www.guerra.com/,Central African Republic,Upgradable multi-state challenge,2019,Civil Engineering,236
27,92cAd11Ec4B67D5,"Nichols, Rodgers and Hall",https://olsen.com/,Bangladesh,Ameliorated systematic hardware,2014,Commercial Real Estate,1996
28,1ADB796E374b1F8,"Landry, Pena and Nash",http://mathews.com/,Ghana,Optional needs-based model,2014,Textiles,4214
30,65bB9Baa2a168Ad,Greer-Watts,https://www.griffith-prince.com/,Timor-Leste,Reverse-engineered interactive framework,2017,Wholesale,1884
33,BB4fecbcED2e40D,Kelley-Lucero,https://www.pierce.org/,Kenya,Versatile full-range process improvement,2001,Mental Health Care,5154
38,F5E75Fb6cB90ffE,"Brandt, Vasquez and Kennedy",http://riggs.com/,Andorra,Proactive next generation moratorium,2019,Cosmetics,7372
42,299e97aFeA5AAb3,"Skinner, Carrillo and Mckay",http://www.schneider-white.com/,Macedonia,Reactive value-added middleware,2005,Gambling / Casinos,1945
44,913dcD3833fa125,"Miller, Bowen and Webster",https://www.middleton.com/,Sudan,Progressive 3rdgeneration success,2015,Fine Art,6378
47,05eE53c2daf90fC,Moses PLC,https://doyle.com/,Uruguay,Customer-focused discrete implementation,2017,Real Estate / Mortgage,1263
49,56eA0cacdAaC961,Cooley-Harding,https://carrillo.com/,Indonesia,Expanded upward-trending orchestration,2001,Public Safety,6366
52,cA2CcBbCf1D2239,Watson-Ho,http://wolfe.com/,Macao,Expanded systemic array,2001,Museums / Institutions,2284
57,742e0CdDEC1CBE3,Guerrero Ltd,http://www.frye.com/,Burundi,Team-oriented needs-based approach,2013,Photography,4880
59,cB3FcD6ebBd6F9b,"Figueroa, Cross and Bishop",https://vaughn-johnson.org/,Bolivia,Reactive fresh-thinking success,2003,Real Estate / Mortgage,5762
60,A4c3f2fADD9848B,"Morales, Haas and Hunter",http://velazquez.biz/,Uzbekistan,Universal methodical support,2009,Individual / Family Services,1210
64,D2942D7Cf9c2dEB,Kirk-Powers,http://www.simmons.com/,Vanuatu,Enterprise-wide homogeneous moratorium,2011,Information Services,8205
72,a8FAfec4a520d68,Sawyer-Cisneros,http://larsen-randall.com/,Northern Mariana Islands,Distributed leadingedge protocol,2010,Recreational Facilities / Services,3328
73,3bAcb3b524cDcfB,Wilcox Inc,https://alexander-harmon.org/,Guernsey,Customer-focused cohesive utilization,2002,Law Enforcement,6586
74,eC4cDc7a24B6BcD,Sherman and Sons,https://meadows.biz/,Falkland Islands (Malvinas),Quality-focused disintermediate solution,2010,Religious Institutions,8080
76,64ccBF8FDeDeFba,Green Ltd,http://baker.com/,Turkmenistan,Persistent secondary budgetary management,2008,Individual / Family Services,1371
82,7d3c96Ae4d63466,"Kane, Lowe and Ashley",https://barrera.org/,Cook Islands,Pre-emptive interactive standardization,2019,Financial Services,4493
83,2Dd5dEf2C7DDDfe,Meyers-Roy,http://holden.com/,Australia,Fundamental zero administration system engine,2002,Fine Art,1436
84,9c8AbD6c6bBBeCE,"Fox, Holmes and Morse",https://www.leonard.com/,Belize,Robust context-sensitive emulation,2003,Ranching,4860
88,299F8Cf3aCD98b4,Caldwell and Sons,https://www.cain.info/,Costa Rica,Function-based grid-enabled workforce,2009,Philanthropy,9194
90,0FB9ff5b434Dcd4,Thomas Ltd,http://www.stone-smith.biz/,Seychelles,Robust regional focus group,2009,Medical Equipment,3474
91,Fc679bcD4fAe6AB,"Travis, Booker and Stewart",https://bell.info/,Sao Tome and Principe,Compatible empowering strategy,2019,Religious Institutions,1971
92,66df89DcEeE8eE3,"Soto, Armstrong and Mcguire",http://medina.biz/,Romania,Grass-roots 5thgeneration ability,2005,Utilities,3761
93,802e73a1bd21cD9,"Shepherd, Burnett and Duke",https://navarro.com/,Colombia,Vision-oriented directional neural-net,2016,Wireless,303
96,ceA7b086fF68dFa,Knox Ltd,https://www.pugh.com/,Saint Pierre and Miquelon,Programmable upward-trending support,2019,Security / Investigations,1659
97,B4E4CaC3C9bFCb4,Conner PLC,https://www.graves.com/,Pitcairn Islands,Centralized mission-critical analyzer,2003,Market Research,5142
99,cFF62CF32feEd66,"Mitchell, Barnes and Terrell",https://www.spencer.net/,Ecuador,Synergistic reciprocal capability,2016,Legal Services,6054
103,650A10df4Eb8A3C,Russo PLC,https://dudley.com/,Jamaica,Multi-channeled dedicated encryption,2002,Paper / Forest Products,9101
105,A8F647a5Bb86598,"Malone, David and Santos",http://www.kirby.com/,Honduras,Extended heuristic implementation,2015,Government Administration,8341
107,f2cfa0E918Cdd6a,White-Wong,https://www.gonzalez.biz/,Egypt,Optimized asymmetric algorithm,2003,Maritime,4252
